;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
1-1-2022 00:00;6.73E-05;0.001;0.001;200;90;0.25;;
1-1-2022 01:00;3.70E-05;0.001;0.001;200;90;0.25;;
1-1-2022 02:00;2.12E-05;0.001;0.001;200;90;0.25;;
1-1-2022 03:00;1.56E-05;0.001;0.001;200;90;0.25;;
1-1-2022 04:00;1.88E-05;0.001;0.001;200;90;0.25;;
1-1-2022 05:00;3.76E-05;0.001;0.001;200;90;0.25;;
1-1-2022 06:00;8.33E-05;0.001;0.001;200;90;0.25;;
1-1-2022 07:00;0.000167148;0.001;0.001;200;90;0.25;;
1-1-2022 08:00;0.000208329;0.001;0.001;200;90;0.25;;
1-1-2022 09:00;0.000236548;0.001;0.001;200;90;0.25;;
1-1-2022 10:00;0.00027323;0.001;0.001;200;90;0.25;;
1-1-2022 11:00;0.000276226;0.001;0.001;200;90;0.25;;
1-1-2022 12:00;0.000256715;0.001;0.001;200;90;0.25;;
1-1-2022 13:00;0.000232825;0.001;0.001;200;90;0.25;;
1-1-2022 14:00;0.000233364;0.001;0.001;200;90;0.25;;
1-1-2022 15:00;0.00026768;0.001;0.001;200;90;0.25;;
1-1-2022 16:00;0.000343697;0.001;0.001;200;90;0.25;;
1-1-2022 17:00;0.000352551;0.001;0.001;200;90;0.25;;
1-1-2022 18:00;0.000340496;0.001;0.001;200;90;0.25;;
1-1-2022 19:00;0.000287247;0.001;0.001;200;90;0.25;;
1-1-2022 20:00;0.000239402;0.001;0.001;200;90;0.25;;
1-1-2022 21:00;0.000220942;0.001;0.001;200;90;0.25;;
1-1-2022 22:00;0.000158679;0.001;0.001;200;90;0.25;;
1-1-2022 23:00;8.29E-05;0.001;0.001;200;90;0.25;;
2-1-2022 00:00;0.000222247;0.001;0.001;200;90;0.25;;
2-1-2022 01:00;0.000216045;0.001;0.001;200;90;0.25;;
2-1-2022 02:00;0.000212192;0.001;0.001;200;90;0.25;;
2-1-2022 03:00;0.000211193;0.001;0.001;200;90;0.25;;
2-1-2022 04:00;0.00022854;0.001;0.001;200;90;0.25;;
2-1-2022 05:00;0.00034588;0.001;0.001;200;90;0.25;;
2-1-2022 06:00;0.000467906;0.001;0.001;200;90;0.25;;
2-1-2022 07:00;0.000545036;0.001;0.001;200;90;0.25;;
2-1-2022 08:00;0.000572842;0.001;0.001;200;90;0.25;;
2-1-2022 09:00;0.000598088;0.001;0.001;200;90;0.25;;
2-1-2022 10:00;0.000619499;0.001;0.001;200;90;0.25;;
2-1-2022 11:00;0.000634293;0.001;0.001;200;90;0.25;;
2-1-2022 12:00;0.000622939;0.001;0.001;200;90;0.25;;
2-1-2022 13:00;0.000598195;0.001;0.001;200;90;0.25;;
2-1-2022 14:00;0.000591764;0.001;0.001;200;90;0.25;;
2-1-2022 15:00;0.000616721;0.001;0.001;200;90;0.25;;
2-1-2022 16:00;0.000652983;0.001;0.001;200;90;0.25;;
2-1-2022 17:00;0.000663308;0.001;0.001;200;90;0.25;;
2-1-2022 18:00;0.000651168;0.001;0.001;200;90;0.25;;
2-1-2022 19:00;0.000563195;0.001;0.001;200;90;0.25;;
2-1-2022 20:00;0.000496083;0.001;0.001;200;90;0.25;;
2-1-2022 21:00;0.000447327;0.001;0.001;200;90;0.25;;
2-1-2022 22:00;0.000364422;0.001;0.001;200;90;0.25;;
