;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
1-1-2022 00:00;0.00313915;;;;;;;
1-1-2022 01:00;0.00302308;;;;;;;
1-1-2022 02:00;0.003424474;;;;;;;
1-1-2022 03:00;0.004096774;;;;;;;
1-1-2022 04:00;0.004962093;;;;;;;
1-1-2022 05:00;0.006160763;;;;;;;
1-1-2022 06:00;0.007098653;;;;;;;
1-1-2022 07:00;0.007289583;;;;;;;
1-1-2022 08:00;0.006259625;;;;;;;
1-1-2022 09:00;0.00508522;;;;;;;
1-1-2022 10:00;0.004463674;;;;;;;
1-1-2022 11:00;0.004092705;;;;;;;
1-1-2022 12:00;0.003949375;;;;;;;
1-1-2022 13:00;0.004161586;;;;;;;
1-1-2022 14:00;0.004618164;;;;;;;
1-1-2022 15:00;0.005430802;;;;;;;
1-1-2022 16:00;0.006219773;;;;;;;
1-1-2022 17:00;0.006790928;;;;;;;
1-1-2022 18:00;0.007078711;;;;;;;
1-1-2022 19:00;0.00681955;;;;;;;
1-1-2022 20:00;0.005888831;;;;;;;
1-1-2022 21:00;0.004830811;;;;;;;
1-1-2022 22:00;0.003863379;;;;;;;
1-1-2022 23:00;0.002549424;;;;;;;
2-1-2022 00:00;0.001816813;;;;;;;
2-1-2022 01:00;0.001609683;;;;;;;
2-1-2022 02:00;0.002037744;;;;;;;
2-1-2022 03:00;0.002998966;;;;;;;
2-1-2022 04:00;0.004436981;;;;;;;
2-1-2022 05:00;0.006270409;;;;;;;
2-1-2022 06:00;0.007706788;;;;;;;
2-1-2022 07:00;0.0081974;;;;;;;
2-1-2022 08:00;0.007322512;;;;;;;
2-1-2022 09:00;0.006199274;;;;;;;
2-1-2022 10:00;0.005580273;;;;;;;
2-1-2022 11:00;0.005210773;;;;;;;
2-1-2022 12:00;0.005082786;;;;;;;
2-1-2022 13:00;0.005281224;;;;;;;
2-1-2022 14:00;0.005679099;;;;;;;
2-1-2022 15:00;0.00639994;;;;;;;
2-1-2022 16:00;0.007065904;;;;;;;
2-1-2022 17:00;0.007515544;;;;;;;
2-1-2022 18:00;0.007727459;;;;;;;
2-1-2022 19:00;0.007420289;;;;;;;
2-1-2022 20:00;0.006444029;;;;;;;
2-1-2022 21:00;0.005344565;;;;;;;
2-1-2022 22:00;0.004333494;;;;;;;
2-1-2022 23:00;0.002980697;;;;;;;
3-1-2022 00:00;0.002254419;;;;;;;
3-1-2022 01:00;0.002127708;;;;;;;
3-1-2022 02:00;0.002693585;;;;;;;
3-1-2022 03:00;0.003817575;;;;;;;
3-1-2022 04:00;0.005359682;;;;;;;
3-1-2022 05:00;0.007181282;;;;;;;
3-1-2022 06:00;0.008505171;;;;;;;
3-1-2022 07:00;0.008863983;;;;;;;
3-1-2022 08:00;0.007819782;;;;;;;
3-1-2022 09:00;0.006478564;;;;;;;
3-1-2022 10:00;0.005601014;;;;;;;
3-1-2022 11:00;0.004998546;;;;;;;
3-1-2022 12:00;0.004708123;;;;;;;
3-1-2022 13:00;0.004869022;;;;;;;
3-1-2022 14:00;0.005401397;;;;;;;
3-1-2022 15:00;0.006341584;;;;;;;
3-1-2022 16:00;0.007234251;;;;;;;
3-1-2022 17:00;0.007923564;;;;;;;
3-1-2022 18:00;0.008318023;;;;;;;
3-1-2022 19:00;0.008077822;;;;;;;
3-1-2022 20:00;0.007089347;;;;;;;
3-1-2022 21:00;0.005928693;;;;;;;
3-1-2022 22:00;0.004823322;;;;;;;
3-1-2022 23:00;0.003387058;;;;;;;
4-1-2022 00:00;0.002613662;;;;;;;
4-1-2022 01:00;0.002477755;;;;;;;
4-1-2022 02:00;0.003058907;;;;;;;
4-1-2022 03:00;0.004181295;;;;;;;
4-1-2022 04:00;0.005656847;;;;;;;
4-1-2022 05:00;0.007347719;;;;;;;
4-1-2022 06:00;0.008543392;;;;;;;
4-1-2022 07:00;0.008872403;;;;;;;
4-1-2022 08:00;0.007910632;;;;;;;
4-1-2022 09:00;0.006789547;;;;;;;
4-1-2022 10:00;0.006243209;;;;;;;
4-1-2022 11:00;0.005964955;;;;;;;
4-1-2022 12:00;0.005882167;;;;;;;
4-1-2022 13:00;0.006041545;;;;;;;
4-1-2022 14:00;0.006311405;;;;;;;
4-1-2022 15:00;0.006818173;;;;;;;
4-1-2022 16:00;0.00722869;;;;;;;
4-1-2022 17:00;0.007444468;;;;;;;
4-1-2022 18:00;0.007478045;;;;;;;
4-1-2022 19:00;0.007056576;;;;;;;
4-1-2022 20:00;0.006028036;;;;;;;
4-1-2022 21:00;0.004921894;;;;;;;
4-1-2022 22:00;0.003918531;;;;;;;
